unit os1 os2 os3 s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 RUL
1 -0.001 0.0003 100.0 518.67 642.38 1590.83 1398.81 14.62 21.61 553.49 2388.12 9043.76 1.3 47.44 522.13 2388.03 8133.88 8.3891 0.03 392.0 2388.0 100.0 39.0 23.3696 168.0
1 0.0023 -0.0004 100.0 518.67 642.77 1594.1 1399.39 14.62 21.61 554.0 2388.02 9054.16 1.3 47.36 522.56 2388.02 8136.61 8.3917 0.03 393.0 2388.0 100.0 38.95 23.4288 167.0
1 0.0 0.0002 100.0 518.67 642.16 1589.08 1396.07 14.62 21.61 554.11 2388.07 9047.11 1.3 47.26 522.28 2388.06 8131.15 8.426 0.03 394.0 2388.0 100.0 38.86 23.4149 166.0
1 -0.0012 -0.0004 100.0 518.67 642.44 1590.47 1401.84 14.62 21.61 554.07 2388.02 9047.96 1.3 47.37 522.0 2388.13 8134.6 8.4046 0.03 393.0 2388.0 100.0 38.99 23.4472 165.0
1 -0.0024 0.0005 100.0 518.67 642.35 1582.84 1399.13 14.62 21.61 554.68 2388.12 9049.84 1.3 47.41 522.57 2388.08 8127.3 8.4323 0.03 390.0 2388.0 100.0 39.01 23.2841 164.0
1 0.0012 -0.0001 100.0 518.67 641.91 1584.83 1400.99 14.62 21.61 554.25 2388.05 9050.47 1.3 47.24 522.41 2388.06 8133.06 8.4189 0.03 393.0 2388.0 100.0 38.93 23.3597 163.0
1 -0.0022 0.0 100.0 518.67 642.2 1593.52 1396.08 14.62 21.61 554.37 2388.07 9045.62 1.3 47.4 522.19 2388.0 8137.86 8.4065 0.03 390.0 2388.0 100.0 39.05 23.411 162.0
1 0.0014 0.0005 100.0 518.67 642.02 1584.18 1396.9 14.62 21.61 554.13 2388.08 9058.78 1.3 47.41 521.95 2388.06 8125.28 8.4104 0.03 392.0 2388.0 100.0 38.94 23.3353 161.0
1 0.0005 -0.0003 100.0 518.67 642.33 1591.38 1400.36 14.62 21.61 554.96 2388.04 9050.97 1.3 47.25 521.92 2388.07 8129.7 8.4148 0.03 392.0 2388.0 100.0 39.02 23.4999 160.0
1 -0.0042 -0.0004 100.0 518.67 642.71 1588.4 1402.43 14.62 21.61 554.61 2388.04 9047.13 1.3 47.28 521.91 2388.08 8134.42 8.3753 0.03 392.0 2388.0 100.0 38.83 23.3506 159.0
1 0.0015 -0.0001 100.0 518.67 642.54 1581.47 1400.48 14.62 21.61 554.3 2388.03 9046.46 1.3 47.47 521.7 2388.09 8126.61 8.4349 0.03 392.0 2388.0 100.0 38.81 23.3092 158.0
1 0.0003 0.0002 100.0 518.67 642.44 1590.0 1403.0 14.62 21.61 554.3 2388.04 9045.76 1.3 47.31 521.75 2388.01 8140.17 8.443 0.03 391.0 2388.0 100.0 39.13 23.4164 157.0
1 -0.0004 -0.0002 100.0 518.67 642.54 1581.72 1405.54 14.62 21.61 554.53 2388.01 9044.56 1.3 47.25 522.32 2388.04 8132.48 8.4246 0.03 392.0 2388.0 100.0 38.86 23.4308 156.0
1 -0.0004 -0.0 100.0 518.67 641.99 1579.11 1398.9 14.62 21.61 554.63 2388.07 9055.44 1.3 47.29 522.29 2388.04 8131.95 8.4142 0.03 392.0 2388.0 100.0 38.99 23.4352 155.0
1 -0.0018 -0.0002 100.0 518.67 641.93 1589.6 1399.5 14.62 21.61 554.7 2388.08 9055.27 1.3 47.27 522.42 2388.08 8136.61 8.4158 0.03 392.0 2388.0 100.0 39.06 23.4768 154.0
1 -0.003 -0.0001 100.0 518.67 642.01 1583.21 1400.69 14.62 21.61 553.97 2388.02 9051.76 1.3 47.12 522.23 2388.05 8131.81 8.414 0.03 392.0 2388.0 100.0 38.7 23.3699 153.0
1 -0.0 -0.0004 100.0 518.67 642.24 1582.08 1401.77 14.62 21.61 554.57 2388.06 9052.98 1.3 47.33 521.84 2388.01 8131.03 8.3784 0.03 392.0 2388.0 100.0 38.84 23.3769 152.0
1 0.0033 0.0004 100.0 518.67 642.4 1591.31 1403.21 14.62 21.61 553.72 2388.06 9048.99 1.3 47.09 522.07 2388.03 8138.08 8.437 0.03 392.0 2388.0 100.0 39.13 23.4444 151.0
1 0.0005 -0.0004 100.0 518.67 642.12 1584.66 1401.38 14.62 21.61 553.94 2388.08 9057.06 1.3 47.49 522.23 2388.05 8130.88 8.4137 0.03 392.0 2388.0 100.0 39.0 23.375 150.0
1 -0.0027 0.0005 100.0 518.67 642.24 1591.52 1406.05 14.62 21.61 553.68 2388.03 9057.88 1.3 47.32 522.74 2388.09 8127.22 8.4068 0.03 392.0 2388.0 100.0 38.99 23.3148 149.0
1 -0.0001 0.0002 100.0 518.67 641.93 1586.94 1401.2 14.62 21.61 554.15 2388.04 9046.87 1.3 47.45 522.3 2388.0 8131.45 8.4201 0.03 392.0 2388.0 100.0 39.06 23.4753 148.0
1 -0.0013 -0.0 100.0 518.67 642.53 1582.42 1399.16 14.62 21.61 553.83 2388.08 9060.32 1.3 47.45 521.73 2388.05 8128.31 8.4099 0.03 393.0 2388.0 100.0 38.79 23.3943 147.0
1 0.0003 0.0001 100.0 518.67 642.43 1588.29 1401.27 14.62 21.61 553.76 2388.06 9060.38 1.3 47.2 522.02 2388.08 8128.71 8.3977 0.03 393.0 2388.0 100.0 38.93 23.3745 146.0
1 0.0 0.0005 100.0 518.67 642.21 1580.32 1402.89 14.62 21.61 554.38 2388.06 9052.04 1.3 47.22 521.84 2388.05 8126.21 8.3973 0.03 392.0 2388.0 100.0 38.99 23.4873 145.0
1 0.0019 0.0001 100.0 518.67 641.89 1588.51 1399.16 14.62 21.61 554.02 2388.08 9045.26 1.3 47.4 521.91 2388.06 8129.99 8.4376 0.03 392.0 2388.0 100.0 38.94 23.365 144.0
1 -0.0014 0.0005 100.0 518.67 642.23 1584.35 1397.76 14.62 21.61 554.23 2388.07 9050.64 1.3 47.22 521.37 2388.04 8135.48 8.4151 0.03 392.0 2388.0 100.0 39.06 23.4498 143.0
1 -0.0032 -0.0001 100.0 518.67 642.77 1588.49 1403.62 14.62 21.61 553.92 2388.06 9048.6 1.3 47.47 522.33 2388.09 8127.3 8.4116 0.03 392.0 2388.0 100.0 38.85 23.4106 142.0
1 -0.001 0.0003 100.0 518.67 642.81 1585.54 1400.42 14.62 21.61 553.73 2388.02 9047.09 1.3 47.12 521.91 2388.05 8134.36 8.4504 0.03 393.0 2388.0 100.0 38.94 23.3651 141.0
1 0.0018 -0.0001 100.0 518.67 642.76 1583.77 1395.57 14.62 21.61 553.04 2388.04 9056.01 1.3 47.07 522.1 2388.07 8132.82 8.4539 0.03 391.0 2388.0 100.0 39.0 23.3388 140.0
1 0.0021 -0.0001 100.0 518.67 642.61 1579.82 1402.26 14.62 21.61 554.16 2388.05 9051.15 1.3 47.29 521.96 2388.06 8134.38 8.4418 0.03 392.0 2388.0 100.0 38.9 23.3775 139.0
1 -0.0002 0.0005 100.0 518.67 642.42 1592.59 1401.2 14.62 21.61 553.95 2388.04 9056.29 1.3 47.38 522.44 2388.06 8129.95 8.4189 0.03 392.0 2388.0 100.0 38.96 23.2348 138.0
1 0.0009 -0.0 100.0 518.67 642.41 1584.95 1401.58 14.62 21.61 554.45 2388.04 9048.94 1.3 47.4 522.11 2388.02 8134.1 8.4071 0.03 392.0 2388.0 100.0 39.06 23.3567 137.0
1 0.0007 -0.0002 100.0 518.67 642.49 1586.33 1400.76 14.62 21.61 553.98 2388.01 9042.42 1.3 47.26 522.48 2388.04 8135.4 8.4022 0.03 391.0 2388.0 100.0 38.68 23.3408 136.0
1 -0.0033 0.0 100.0 518.67 642.13 1583.67 1402.79 14.62 21.61 553.42 2388.05 9050.8 1.3 47.29 521.62 2388.08 8135.48 8.4263 0.03 392.0 2388.0 100.0 38.84 23.3567 135.0
1 -0.0014 0.0001 100.0 518.67 641.9 1590.46 1397.99 14.62 21.61 554.14 2388.09 9050.33 1.3 47.26 522.21 2388.04 8132.08 8.4319 0.03 390.0 2388.0 100.0 38.93 23.2893 134.0
1 -0.0006 0.0002 100.0 518.67 642.33 1596.72 1403.51 14.62 21.61 554.62 2388.07 9050.06 1.3 47.26 521.32 2388.02 8128.81 8.4476 0.03 392.0 2388.0 100.0 38.92 23.4444 133.0
1 -0.001 -0.0002 100.0 518.67 642.34 1582.75 1403.07 14.62 21.61 554.0 2388.06 9051.69 1.3 47.41 522.49 2388.03 8132.89 8.3878 0.03 393.0 2388.0 100.0 38.89 23.387 132.0
1 0.0004 0.0005 100.0 518.67 642.1 1583.55 1405.52 14.62 21.61 554.09 2388.11 9050.58 1.3 47.31 522.34 2388.09 8131.66 8.4264 0.03 391.0 2388.0 100.0 38.89 23.3638 131.0
1 0.0004 0.0001 100.0 518.67 642.17 1581.59 1399.54 14.62 21.61 554.45 2388.1 9053.62 1.3 47.28 522.19 2388.1 8132.28 8.4071 0.03 391.0 2388.0 100.0 39.03 23.2707 130.0
1 0.0015 0.0002 100.0 518.67 642.6 1592.14 1395.38 14.62 21.61 553.48 2388.06 9049.96 1.3 47.51 521.56 2388.01 8130.73 8.4357 0.03 394.0 2388.0 100.0 38.77 23.3436 129.0
1 0.0017 0.0002 100.0 518.67 642.23 1584.51 1400.11 14.62 21.61 553.88 2388.1 9043.67 1.3 47.45 521.82 2388.04 8128.15 8.4066 0.03 391.0 2388.0 100.0 38.93 23.384 128.0
1 -0.0 0.0005 100.0 518.67 642.28 1584.72 1403.24 14.62 21.61 553.97 2388.03 9044.01 1.3 47.56 521.54 2388.13 8132.94 8.4406 0.03 392.0 2388.0 100.0 38.9 23.3752 127.0
1 -0.0007 -0.0004 100.0 518.67 642.5 1588.5 1399.52 14.62 21.61 554.0 2388.06 9059.45 1.3 47.14 521.76 2388.05 8128.32 8.3911 0.03 391.0 2388.0 100.0 38.95 23.3152 126.0
1 0.0016 -0.0004 100.0 518.67 642.33 1590.22 1403.02 14.62 21.61 554.31 2388.1 9050.24 1.3 47.39 522.64 2388.08 8134.07 8.3925 0.03 393.0 2388.0 100.0 38.97 23.291 125.0
1 -0.0018 0.0 100.0 518.67 642.51 1582.06 1404.42 14.62 21.61 554.04 2388.1 9051.78 1.3 47.36 521.72 2388.07 8132.39 8.4242 0.03 392.0 2388.0 100.0 38.95 23.3174 124.0
1 -0.0022 0.0005 100.0 518.67 642.44 1590.7 1401.24 14.62 21.61 554.65 2388.07 9050.59 1.3 47.41 522.22 2388.1 8129.13 8.4292 0.03 392.0 2388.0 100.0 39.0 23.3742 123.0
1 -0.0005 0.0002 100.0 518.67 642.22 1584.02 1402.78 14.62 21.61 554.01 2388.11 9053.43 1.3 47.41 521.93 2388.12 8130.36 8.4279 0.03 392.0 2388.0 100.0 38.86 23.4513 122.0
1 0.0016 -0.0003 100.0 518.67 642.21 1580.41 1403.09 14.62 21.61 554.06 2388.03 9046.09 1.3 47.3 521.72 2388.09 8134.28 8.423 0.03 391.0 2388.0 100.0 38.8 23.3881 121.0
1 -0.0017 0.0001 100.0 518.67 642.41 1579.25 1406.81 14.62 21.61 553.76 2388.07 9054.42 1.3 47.27 521.97 2388.09 8133.95 8.3951 0.03 391.0 2388.0 100.0 38.84 23.3085 120.0
1 -0.0012 -0.0002 100.0 518.67 642.29 1592.04 1397.93 14.62 21.61 553.88 2388.03 9049.64 1.3 47.29 522.04 2388.1 8129.85 8.404 0.03 391.0 2388.0 100.0 39.03 23.3975 119.0
1 0.0027 0.0001 100.0 518.67 642.96 1584.65 1401.48 14.62 21.61 554.03 2388.07 9045.85 1.3 47.58 522.25 2387.97 8132.67 8.4135 0.03 392.0 2388.0 100.0 38.8 23.382 118.0
1 0.0009 -0.0004 100.0 518.67 641.96 1582.32 1394.82 14.62 21.61 553.6 2388.07 9042.32 1.3 47.22 521.77 2388.11 8130.13 8.4621 0.03 392.0 2388.0 100.0 38.89 23.3521 117.0
1 -0.0015 0.0002 100.0 518.67 642.21 1589.21 1398.94 14.62 21.61 553.66 2388.02 9056.55 1.3 47.44 521.58 2388.03 8136.44 8.3996 0.03 390.0 2388.0 100.0 39.02 23.4428 116.0
1 0.0022 0.0004 100.0 518.67 642.55 1586.3 1400.97 14.62 21.61 554.61 2388.06 9046.44 1.3 47.41 521.6 2388.08 8135.25 8.453 0.03 393.0 2388.0 100.0 38.99 23.275 115.0
1 0.004 0.0002 100.0 518.67 641.99 1580.76 1404.1 14.62 21.61 553.47 2388.08 9042.37 1.3 47.4 522.28 2388.16 8133.91 8.3793 0.03 392.0 2388.0 100.0 38.88 23.3486 114.0
1 0.0022 -0.0002 100.0 518.67 642.12 1582.46 1403.93 14.62 21.61 553.77 2388.04 9047.86 1.3 47.35 521.85 2388.13 8135.4 8.4132 0.03 394.0 2388.0 100.0 38.9 23.3121 113.0
1 -0.0002 -0.0004 100.0 518.67 641.94 1591.96 1393.58 14.62 21.61 553.91 2388.06 9043.67 1.3 47.64 521.52 2388.1 8134.66 8.4235 0.03 392.0 2388.0 100.0 38.89 23.3613 112.0
1 -0.0018 -0.0004 100.0 518.67 642.73 1584.82 1402.04 14.62 21.61 553.88 2388.1 9045.31 1.3 47.43 521.66 2388.05 8128.87 8.4247 0.03 392.0 2388.0 100.0 38.77 23.373 111.0
1 -0.0012 0.0001 100.0 518.67 642.04 1589.07 1399.17 14.62 21.61 554.18 2388.1 9048.22 1.3 47.25 521.95 2388.03 8134.04 8.3986 0.03 393.0 2388.0 100.0 38.89 23.2713 110.0
1 0.0004 0.0005 100.0 518.67 642.66 1588.05 1406.38 14.62 21.61 553.49 2388.08 9049.08 1.3 47.22 521.93 2388.05 8131.32 8.4128 0.03 391.0 2388.0 100.0 38.8 23.3274 109.0
1 0.0005 0.0002 100.0 518.67 642.64 1585.52 1406.6 14.62 21.61 553.91 2388.05 9050.47 1.3 47.38 521.54 2388.06 8131.54 8.4139 0.03 392.0 2388.0 100.0 38.73 23.2653 108.0
1 0.0025 0.0003 100.0 518.67 642.28 1590.12 1405.96 14.62 21.61 554.4 2388.01 9056.08 1.3 47.36 522.3 2388.05 8135.31 8.4499 0.03 392.0 2388.0 100.0 39.01 23.284 107.0
1 -0.0012 0.0004 100.0 518.67 641.84 1588.8 1403.56 14.62 21.61 553.69 2388.1 9047.26 1.3 47.38 521.82 2388.09 8130.06 8.4173 0.03 394.0 2388.0 100.0 38.94 23.3945 106.0
1 0.0 -0.0004 100.0 518.67 642.33 1586.69 1413.1 14.62 21.61 554.1 2388.14 9050.52 1.3 47.34 521.43 2388.06 8130.41 8.4326 0.03 391.0 2388.0 100.0 38.88 23.3402 105.0
1 0.0029 0.0003 100.0 518.67 641.96 1581.29 1406.09 14.62 21.61 554.48 2388.07 9046.73 1.3 47.46 522.2 2388.04 8131.47 8.4586 0.03 392.0 2388.0 100.0 38.9 23.3086 104.0
1 0.0008 -0.0001 100.0 518.67 642.24 1584.73 1402.22 14.62 21.61 553.91 2388.05 9055.24 1.3 47.46 521.55 2388.08 8135.15 8.4489 0.03 392.0 2388.0 100.0 38.95 23.3288 103.0
1 0.0017 -0.0001 100.0 518.67 642.67 1584.38 1412.93 14.62 21.61 552.88 2388.1 9051.27 1.3 47.32 521.49 2388.09 8129.72 8.3961 0.03 391.0 2388.0 100.0 38.98 23.4712 102.0
1 0.0025 -0.0004 100.0 518.67 641.98 1584.84 1404.76 14.62 21.61 553.54 2388.04 9050.72 1.3 47.32 521.55 2388.1 8134.4 8.3949 0.03 394.0 2388.0 100.0 39.11 23.3842 101.0
1 0.001 -0.0002 100.0 518.67 642.89 1590.03 1400.77 14.62 21.61 553.81 2388.14 9048.36 1.3 47.45 521.91 2388.05 8131.39 8.3982 0.03 392.0 2388.0 100.0 38.99 23.3522 100.0
1 0.0032 0.0002 100.0 518.67 642.85 1593.74 1408.48 14.62 21.61 554.07 2388.07 9047.87 1.3 47.46 521.43 2388.08 8133.15 8.421 0.03 392.0 2388.0 100.0 38.86 23.2477 99.0
1 -0.0021 0.0002 100.0 518.67 642.45 1583.27 1404.94 14.62 21.61 553.86 2388.15 9045.83 1.3 47.48 521.61 2388.07 8132.4 8.4524 0.03 393.0 2388.0 100.0 38.85 23.3758 98.0
1 0.0019 0.0003 100.0 518.67 642.86 1577.6 1410.1 14.62 21.61 553.91 2388.02 9048.85 1.3 47.38 521.92 2388.02 8131.63 8.4575 0.03 394.0 2388.0 100.0 38.76 23.3269 97.0
1 -0.0034 0.0001 100.0 518.67 642.19 1584.07 1395.16 14.62 21.61 553.34 2388.07 9048.71 1.3 47.39 521.66 2388.06 8130.69 8.4311 0.03 392.0 2388.0 100.0 38.88 23.3255 96.0
1 0.0035 -0.0003 100.0 518.67 642.07 1595.77 1407.81 14.62 21.61 553.4 2388.09 9046.1 1.3 47.46 521.67 2388.06 8128.74 8.4105 0.03 392.0 2388.0 100.0 39.01 23.2963 95.0
1 0.0006 0.0004 100.0 518.67 642.0 1591.11 1404.56 14.62 21.61 552.75 2388.06 9045.49 1.3 47.37 522.31 2388.06 8127.89 8.4012 0.03 391.0 2388.0 100.0 38.96 23.2554 94.0
1 -0.0005 -0.0 100.0 518.67 642.46 1592.73 1406.13 14.62 21.61 553.76 2388.08 9045.14 1.3 47.4 521.42 2388.1 8131.77 8.4481 0.03 393.0 2388.0 100.0 38.82 23.2323 93.0
1 -0.0021 -0.0003 100.0 518.67 642.22 1589.63 1411.35 14.62 21.61 554.22 2388.07 9045.72 1.3 47.64 521.55 2388.08 8132.49 8.4241 0.03 392.0 2388.0 100.0 38.93 23.409 92.0
1 0.0012 0.0003 100.0 518.67 642.75 1584.18 1403.41 14.62 21.61 553.37 2388.06 9052.3 1.3 47.62 521.89 2388.08 8125.97 8.4353 0.03 391.0 2388.0 100.0 38.75 23.4149 91.0
1 0.0017 0.0005 100.0 518.67 642.85 1589.11 1403.42 14.62 21.61 553.42 2388.15 9051.36 1.3 47.49 521.38 2388.05 8130.4 8.4561 0.03 393.0 2388.0 100.0 38.94 23.3653 90.0
1 -0.0013 0.0001 100.0 518.67 642.21 1581.27 1403.21 14.62 21.61 553.64 2388.09 9053.28 1.3 47.57 521.41 2388.1 8124.4 8.4263 0.03 392.0 2388.0 100.0 38.69 23.4289 89.0
1 -0.0001 0.0001 100.0 518.67 642.29 1590.63 1406.25 14.62 21.61 553.66 2388.08 9044.73 1.3 47.34 522.38 2388.09 8131.89 8.4021 0.03 392.0 2388.0 100.0 38.96 23.3393 88.0
1 0.0024 0.0004 100.0 518.67 642.01 1588.28 1403.22 14.62 21.61 553.11 2388.09 9048.36 1.3 47.31 521.81 2388.08 8134.01 8.4326 0.03 393.0 2388.0 100.0 38.77 23.3857 87.0
1 0.0 0.0001 100.0 518.67 642.68 1589.05 1404.45 14.62 21.61 553.6 2388.08 9049.82 1.3 47.44 521.51 2388.09 8126.38 8.4664 0.03 392.0 2388.0 100.0 39.08 23.4148 86.0
1 -0.0012 -0.0001 100.0 518.67 642.53 1595.13 1407.73 14.62 21.61 553.74 2388.07 9048.68 1.3 47.35 521.75 2388.07 8132.4 8.4241 0.03 396.0 2388.0 100.0 39.01 23.4086 85.0
1 0.0008 0.0001 100.0 518.67 643.49 1585.91 1399.47 14.62 21.61 554.43 2388.14 9047.03 1.3 47.61 521.52 2388.03 8131.52 8.4133 0.03 393.0 2388.0 100.0 38.75 23.3032 84.0
1 -0.0011 -0.0003 100.0 518.67 642.49 1586.45 1409.1 14.62 21.61 553.59 2388.1 9051.13 1.3 47.58 521.62 2388.11 8130.97 8.3757 0.03 394.0 2388.0 100.0 39.05 23.3561 83.0
1 -0.0 0.0004 100.0 518.67 642.55 1590.01 1401.27 14.62 21.61 554.08 2388.13 9051.4 1.3 47.55 522.01 2388.12 8127.16 8.4638 0.03 393.0 2388.0 100.0 39.06 23.2951 82.0
1 0.0008 0.0004 100.0 518.67 642.67 1584.38 1408.11 14.62 21.61 553.49 2388.12 9051.64 1.3 47.62 521.53 2388.14 8132.4 8.4447 0.03 392.0 2388.0 100.0 38.92 23.2135 81.0
1 0.0005 0.0003 100.0 518.67 642.66 1586.46 1401.84 14.62 21.61 553.19 2388.06 9051.28 1.3 47.22 521.9 2388.08 8131.52 8.4445 0.03 394.0 2388.0 100.0 38.84 23.3207 80.0
1 0.0007 0.0001 100.0 518.67 642.68 1590.85 1406.59 14.62 21.61 552.91 2388.1 9053.15 1.3 47.46 521.75 2388.16 8129.32 8.458 0.03 393.0 2388.0 100.0 38.9 23.3101 79.0
1 0.0003 0.0004 100.0 518.67 642.31 1588.42 1402.97 14.62 21.61 554.29 2388.07 9046.58 1.3 47.58 521.68 2388.15 8132.36 8.429 0.03 394.0 2388.0 100.0 38.89 23.3754 78.0
1 -0.0017 0.0005 100.0 518.67 642.66 1594.84 1406.6 14.62 21.61 554.13 2388.11 9050.37 1.3 47.43 521.36 2388.12 8127.6 8.4345 0.03 393.0 2388.0 100.0 38.93 23.3022 77.0
1 -0.002 -0.0003 100.0 518.67 642.64 1580.31 1401.99 14.62 21.61 554.4 2388.08 9049.71 1.3 47.43 521.6 2388.05 8134.46 8.4059 0.03 394.0 2388.0 100.0 39.03 23.3512 76.0
1 0.0005 0.0004 100.0 518.67 642.38 1589.77 1409.35 14.62 21.61 554.59 2388.1 9049.61 1.3 47.52 521.22 2388.1 8126.12 8.4256 0.03 391.0 2388.0 100.0 38.73 23.1766 75.0
1 -0.0006 -0.0004 100.0 518.67 642.34 1585.67 1409.34 14.62 21.61 554.25 2388.1 9051.12 1.3 47.55 521.31 2388.12 8135.21 8.4197 0.03 393.0 2388.0 100.0 38.88 23.2966 74.0
1 0.0013 0.0005 100.0 518.67 642.67 1596.8 1404.46 14.62 21.61 553.77 2388.1 9045.89 1.3 47.55 521.46 2388.09 8123.85 8.4194 0.03 394.0 2388.0 100.0 39.01 23.3188 73.0
1 -0.0024 0.0005 100.0 518.67 642.81 1593.78 1407.68 14.62 21.61 553.66 2388.1 9048.72 1.3 47.6 521.34 2388.1 8125.57 8.4029 0.03 393.0 2388.0 100.0 38.81 23.3061 72.0
1 -0.0033 0.0004 100.0 518.67 642.63 1593.56 1411.9 14.62 21.61 553.7 2388.07 9040.97 1.3 47.44 521.3 2388.04 8133.94 8.4263 0.03 394.0 2388.0 100.0 38.63 23.422 71.0
1 0.0026 -0.0001 100.0 518.67 643.3 1593.68 1413.97 14.62 21.61 553.43 2388.15 9042.39 1.3 47.6 520.92 2388.12 8131.81 8.4256 0.03 393.0 2388.0 100.0 38.86 23.2793 70.0
